iter	Passed	Remaining
415	2604	3655
416	2609	3648
417	2615	3641
418	2620	3634
419	2626	3627
420	2632	3620
421	2637	3613
422	2643	3605
423	2649	3598
424	2654	3591
425	2660	3584
426	2665	3577
427	2671	3570
428	2677	3563
429	2683	3556
430	2689	3550
431	2694	3543
432	2700	3535
433	2705	3528
434	2711	3521
435	2716	3514
436	2722	3507
437	2728	3500
438	2734	3493
439	2739	3487
440	2745	3480
441	2752	3474
442	2757	3467
443	2764	3461
444	2769	3454
445	2775	3447
446	2781	3441
447	2787	3434
448	2793	3427
449	2799	3421
450	2804	3414
451	2810	3407
452	2816	3400
453	2821	3393
454	2828	3387
455	2833	3380
456	2839	3374
457	2845	3367
458	2851	3361
459	2857	3354
460	2862	3347
461	2868	3340
462	2874	3334
463	2880	3327
464	2886	3321
465	2892	3314
466	2898	3307
467	2903	3300
468	2909	3294
469	2915	3287
470	2921	3280
471	2927	3274
472	2932	3267
473	2938	3260
474	2944	3254
475	2950	3248
476	2956	3241
477	2962	3234
478	2967	3227
479	2973	3220
480	2978	3214
481	2984	3207
482	2990	3201
483	2996	3194
484	3002	3188
485	3010	3183
486	3018	3179
487	3025	3173
488	3031	3167
489	3037	3161
490	3044	3156
491	3051	3150
492	3057	3143
493	3063	3138
494	3069	3131
495	3075	3124
496	3081	3118
497	3086	3111
498	3092	3105
499	3098	3098
500	3103	3091
501	3109	3084
502	3115	3078
503	3121	3071
504	3126	3064
505	3132	3058
506	3138	3051
507	3143	3044
508	3149	3038
509	3156	3032
510	3161	3025
511	3167	3018
512	3173	3012
513	3178	3005
514	3184	2999
515	3190	2992
516	3196	2986
517	3202	2979
518	3207	2972
519	3213	2966
520	3219	2959
521	3225	2953
522	3231	2947
523	3237	2940
524	3243	2934
525	3248	2927
526	3254	2920
527	3259	2914
528	3265	2907
529	3271	2901
530	3277	2894
531	3283	2888
532	3288	2881
533	3294	2874
534	3300	2868
535	3305	2861
536	3311	2855
537	3317	2848
538	3322	2842
539	3329	2835
540	3334	2829
541	3340	2822
542	3346	2816
543	3352	2809
544	3357	2803
545	3363	2796
546	3369	2790
547	3374	2783
548	3380	2777
549	3386	2770
550	3392	2764
551	3398	2757
552	3403	2751
553	3409	2744
554	3414	2738
555	3420	2731
556	3425	2724
557	3431	2718
558	3437	2711
559	3443	2705
560	3448	2698
561	3454	2692
562	3460	2686
563	3467	2680
564	3474	2674
565	3481	2669
566	3488	2663
567	3494	2657
568	3501	2652
569	3507	2645
570	3512	2639
571	3519	2633
572	3524	2626
573	3530	2620
574	3535	2613
575	3541	2606
576	3547	2600
577	3552	2593
578	3558	2587
579	3563	2580
580	3569	2574
581	3575	2567
582	3581	2561
583	3586	2554
584	3592	2548
585	3597	2541
586	3603	2535
587	3609	2528
588	3614	2522
589	3620	2515
590	3625	2509
591	3631	2502
592	3636	2496
593	3642	2489
594	3648	2483
595	3653	2476
596	3658	2469
597	3664	2463
598	3670	2457
599	3676	2450
600	3682	2444
601	3687	2438
602	3693	2431
603	3698	2425
604	3704	2418
605	3710	2412
606	3715	2405
607	3721	2399
608	3727	2392
609	3742	2392
610	3748	2386
611	3754	2380
612	3760	2374
613	3766	2368
614	3773	2361
615	3779	2355
616	3785	2349
617	3791	2343
618	3797	2337
619	3803	2330
620	3808	2324
621	3814	2318
622	3820	2311
623	3825	2305
624	3831	2298
625	3836	2292
626	3842	2285
627	3848	2279
628	3854	2273
629	3859	2266
630	3865	2260
631	3871	2254
632	3877	2247
633	3882	2241
634	3888	2235
635	3894	2228
636	3899	2222
637	3905	2215
638	3911	2209
639	3917	2203
640	3922	2197
641	3928	2190
642	3934	2184
643	3940	2178
644	3946	2171
645	3952	2165
646	3957	2159
647	3963	2153
648	3969	2146
649	3975	2140
650	3980	2134
651	3986	2127
652	3991	2121
653	3997	2114
654	4003	2108
655	4009	2102
656	4014	2095
657	4020	2089
658	4025	2083
659	4031	2076
660	4037	2070
661	4043	2064
662	4049	2058
663	4055	2052
664	4061	2046
665	4068	2040
666	4074	2034
667	4080	2028
668	4086	2021
669	4092	2015
670	4098	2009
671	4104	2003
672	4110	1996
673	4116	1990
674	4121	1984
675	4127	1978
676	4133	1972
677	4139	1965
678	4144	1959
679	4150	1953
680	4156	1947
681	4162	1940
682	4168	1934
683	4173	1928
684	4179	1921
685	4185	1915
686	4190	1909
687	4196	1903
688	4202	1896
689	4207	1890
690	4213	1884
691	4219	1877
692	4225	1871
693	4230	1865
694	4236	1859
695	4242	1853
696	4248	1846
697	4253	1840
698	4259	1834
699	4265	1828
700	4271	1821
701	4276	1815
702	4282	1809
703	4287	1802
704	4293	1796
705	4299	1790
706	4304	1784
707	4310	1777
708	4316	1771
709	4321	1765
710	4328	1759
711	4334	1753
712	4341	1747
713	4347	1741
714	4353	1735
715	4360	1729
716	4366	1723
717	4372	1717
718	4378	1711
719	4384	1705
720	4390	1698
721	4396	1692
722	4401	1686
723	4407	1680
724	4413	1674
725	4419	1667
726	4425	1661
727	4431	1655
728	4436	1649
729	4442	1643
730	4448	1636
731	4453	1630
732	4459	1624
733	4464	1618
734	4470	1611
735	4476	1605
736	4481	1599
737	4487	1592
738	4493	1586
739	4498	1580
740	4504	1574
741	4510	1568
742	4515	1562
743	4521	1555
744	4527	1549
745	4532	1543
746	4538	1537
747	4544	1530
748	4549	1524
749	4555	1518
750	4560	1512
751	4566	1505
752	4572	1499
753	4578	1493
754	4584	1487
755	4589	1481
756	4596	1475
757	4602	1469
